"tick","Search","Agents"
703.0,1.0,76
704.0,1.0,78
705.0,1.0,78
706.0,1.0,72
707.0,1.0,72
708.0,1.0,74
709.0,1.0,74
710.0,1.0,74
711.0,1.0,74
712.0,1.0,67
713.0,1.0,67
714.0,1.0,67
715.0,1.0,67
716.0,1.0,72
717.0,1.0,72
718.0,1.0,71
719.0,1.0,71
720.0,1.0,74
721.0,1.0,74
722.0,1.0,72
723.0,1.0,72
724.0,1.0,68
725.0,1.0,68
726.0,1.0,67
727.0,1.0,67
728.0,1.0,70
729.0,1.0,70
730.0,1.0,68
731.0,1.0,68
732.0,1.0,73
733.0,1.0,73
734.0,1.0,74
735.0,1.0,74
736.0,1.0,75
737.0,1.0,75
738.0,1.0,70
739.0,1.0,70
740.0,1.0,74
741.0,1.0,74
742.0,1.0,78
743.0,1.0,78
744.0,1.0,81
745.0,1.0,81
746.0,1.0,70
747.0,1.0,70
748.0,1.0,72
749.0,1.0,72
750.0,1.0,70
751.0,1.0,70
752.0,1.0,76
753.0,1.0,76
754.0,1.0,74
755.0,1.0,74
756.0,1.0,73
757.0,1.0,73
758.0,1.0,73
759.0,1.0,73
760.0,1.0,76
761.0,1.0,76
762.0,1.0,75
763.0,1.0,75
764.0,1.0,74
765.0,1.0,74
766.0,1.0,77
767.0,1.0,77
768.0,1.0,78
769.0,1.0,78
770.0,1.0,69
771.0,1.0,69
772.0,1.0,74
773.0,1.0,74
774.0,1.0,76
775.0,1.0,76
776.0,1.0,73
777.0,1.0,73
778.0,1.0,75
779.0,1.0,75
780.0,1.0,80
781.0,1.0,80
782.0,1.0,79
783.0,1.0,79
784.0,1.0,76
785.0,1.0,76
786.0,1.0,68
787.0,1.0,68
788.0,1.0,65
789.0,1.0,65
790.0,1.0,71
791.0,1.0,71
792.0,1.0,72
793.0,1.0,72
794.0,1.0,70
795.0,1.0,70
796.0,1.0,66
797.0,1.0,66
798.0,1.0,70
799.0,1.0,70
800.0,1.0,74
801.0,1.0,74
802.0,1.0,74
803.0,1.0,74
804.0,1.0,69
805.0,1.0,69
806.0,1.0,72
807.0,1.0,72
808.0,1.0,71
809.0,1.0,71
810.0,1.0,69
811.0,1.0,69
812.0,1.0,77
813.0,1.0,77
814.0,1.0,78
815.0,1.0,78
816.0,1.0,76
817.0,1.0,76
818.0,1.0,77
819.0,1.0,77
820.0,1.0,73
821.0,1.0,73
822.0,1.0,76
823.0,1.0,76
824.0,1.0,75
825.0,1.0,75
826.0,1.0,74
827.0,1.0,74
828.0,1.0,72
829.0,1.0,72
830.0,1.0,72
831.0,1.0,72
832.0,1.0,67
833.0,1.0,67
834.0,1.0,72
835.0,1.0,72
836.0,1.0,76
837.0,1.0,76
838.0,1.0,72
839.0,1.0,72
840.0,1.0,74
841.0,1.0,74
842.0,1.0,72
843.0,1.0,72
844.0,1.0,67
845.0,1.0,67
846.0,1.0,70
847.0,1.0,70
848.0,1.0,72
849.0,1.0,72
850.0,1.0,71
851.0,1.0,71
852.0,1.0,69
853.0,1.0,69
854.0,1.0,66
855.0,1.0,66
856.0,1.0,74
857.0,1.0,74
858.0,1.0,69
859.0,1.0,69
860.0,1.0,73
861.0,1.0,73
862.0,1.0,69
863.0,1.0,69
864.0,1.0,73
865.0,1.0,73
866.0,1.0,68
867.0,1.0,68
868.0,1.0,67
869.0,1.0,67
870.0,1.0,72
871.0,1.0,72
872.0,1.0,75
873.0,1.0,75
874.0,1.0,72
875.0,1.0,72
876.0,1.0,70
877.0,1.0,70
878.0,1.0,67
879.0,1.0,67
880.0,1.0,72
881.0,1.0,72
882.0,1.0,75
883.0,1.0,75
884.0,1.0,68
885.0,1.0,68
886.0,1.0,67
887.0,1.0,67
888.0,1.0,69
889.0,1.0,69
890.0,1.0,67
891.0,1.0,67
892.0,1.0,69
893.0,1.0,69
894.0,1.0,79
895.0,1.0,79
896.0,1.0,74
897.0,1.0,74
898.0,1.0,70
899.0,1.0,70
900.0,1.0,76
901.0,1.0,76
902.0,1.0,78
903.0,1.0,78
904.0,1.0,79
905.0,1.0,79
906.0,1.0,70
907.0,1.0,70
908.0,1.0,71
909.0,1.0,71
910.0,1.0,74
911.0,1.0,74
912.0,1.0,75
913.0,1.0,75
914.0,1.0,66
915.0,1.0,66
916.0,1.0,67
917.0,1.0,67
918.0,1.0,70
919.0,1.0,70
920.0,1.0,72
921.0,1.0,72
922.0,1.0,71
923.0,1.0,71
924.0,1.0,71
925.0,1.0,71
926.0,1.0,69
927.0,1.0,69
928.0,1.0,78
929.0,1.0,78
930.0,1.0,65
931.0,1.0,65
932.0,1.0,64
933.0,1.0,64
934.0,1.0,72
935.0,1.0,72
936.0,1.0,73
937.0,1.0,73
938.0,1.0,71
939.0,1.0,71
940.0,1.0,78
941.0,1.0,78
942.0,1.0,79
943.0,1.0,79
944.0,1.0,70
945.0,1.0,70
946.0,1.0,71
947.0,1.0,71
948.0,1.0,74
949.0,1.0,74
950.0,1.0,72
951.0,1.0,72
952.0,1.0,76
953.0,1.0,76
954.0,1.0,75
955.0,1.0,75
956.0,1.0,76
957.0,1.0,76
958.0,1.0,68
959.0,1.0,68
960.0,1.0,71
961.0,1.0,71
962.0,1.0,69
963.0,1.0,69
964.0,1.0,72
965.0,1.0,72
966.0,1.0,68
967.0,1.0,68
968.0,1.0,68
969.0,1.0,68
970.0,1.0,67
971.0,1.0,67
972.0,1.0,71
973.0,1.0,71
974.0,1.0,79
975.0,1.0,79
976.0,1.0,80
977.0,1.0,80
978.0,1.0,76
979.0,1.0,76
980.0,1.0,68
981.0,1.0,68
982.0,1.0,75
983.0,1.0,75
984.0,1.0,77
985.0,1.0,77
986.0,1.0,70
987.0,1.0,70
988.0,1.0,75
989.0,1.0,75
990.0,1.0,75
991.0,1.0,75
992.0,1.0,75
993.0,1.0,75
994.0,1.0,75
995.0,1.0,75
996.0,1.0,78
997.0,1.0,78
998.0,1.0,72
999.0,1.0,72
1000.0,1.0,76
